SYMBOL	ENSEMBL	seqnames	start	end	width	strand
ANAPC10	ENSG00000164162	chr4	144831908	145098541	266634	-
LOC124900792	ENSG00000250406	chr4	144851572	144874787	23216	+
ABCE1	ENSG00000164163	chr4	145098288	145129524	31237	+
OTUD4	ENSG00000164164	chr4	145110838	145180589	69752	-
LINC02266	ENSG00000272727	chr4	145335263	145343559	8297	-
	ENSG00000286420	chr4	145444899	145469638	24740	-
SMAD1	ENSG00000170365	chr4	145481194	145559176	77983	+
SMAD1-AS2	ENSG00000250582	chr4	145497073	145502971	5899	-
SMAD1-AS1	ENSG00000250902	chr4	145514615	145517118	2504	-
MMAA	ENSG00000151611	chr4	145599042	145660033	60992	+
LINC02491	ENSG00000151611	chr4	145599042	145660033	60992	+
	ENSG00000248356	chr4	145642336	145650624	8289	-
C4orf51	ENSG00000237136	chr4	145680115	145771032	90918	+
ZNF827	ENSG00000151612	chr4	145757627	145938823	181197	-
	ENSG00000251687	chr4	145833118	145839580	6463	+
	ENSG00000260303	chr4	146052604	146056762	4159	-
LINC01095	ENSG00000248809	chr4	146077717	146121913	44197	-
LSM6	ENSG00000164167	chr4	146175703	146200000	24298	+
REELD1	ENSG00000250673	chr4	146214515	146230878	16364	+
	ENSG00000251010	chr4	146241806	146243669	1864	+
SLC10A7	ENSG00000120519	chr4	146253975	146521964	267990	-
POU4F2	ENSG00000151615	chr4	146638893	146642474	3582	+
TTC29	ENSG00000137473	chr4	146706638	146945882	239245	-
	ENSG00000248764	chr4	146934001	146945471	11471	+
	ENSG00000248346	chr4	146957438	146975457	18020	+
	ENSG00000260090	chr4	147005492	147009145	3654	+
	ENSG00000286371	chr4	147060613	147159068	98456	+
EDNRA	ENSG00000151617	chr4	147480917	147544954	64038	+
	ENSG00000251688	chr4	147567606	147594589	26984	+
	ENSG00000251298	chr4	147609552	147617245	7694	-
TMEM184C	ENSG00000164168	chr4	147617386	147672044	54659	+
PRMT9	ENSG00000164169	chr4	147637785	147684163	46379	-
ARHGAP10	ENSG00000071205	chr4	147732063	148072776	340714	+
NR3C2	ENSG00000151623	chr4	148078762	148444698	365937	-
	ENSG00000250354	chr4	148146471	148208880	62410	+
	ENSG00000287292	chr4	148445703	149024624	578922	+
	ENSG00000250357	chr4	148693032	148694323	1292	+
LOC105377480	ENSG00000249317	chr4	148940941	148942415	1475	-
	ENSG00000249752	chr4	149027445	149062522	35078	-
LINC02430	ENSG00000250252	chr4	149147793	149154175	6383	-
LINC02355	ENSG00000248210	chr4	149154279	149278123	123845	+
IQCM	ENSG00000234828	chr4	149351903	149896233	544331	-
	ENSG00000287565	chr4	149377257	149380107	2851	+
	ENSG00000250905	chr4	149666057	149711149	45093	+
	ENSG00000250704	chr4	149956208	149958572	2365	+
	ENSG00000286711	chr4	150047004	150051290	4287	-
DCLK2	ENSG00000170390	chr4	150078445	150257438	178994	+
LRBA	ENSG00000198589	chr4	150264435	151015727	751293	-
LOC729558	ENSG00000249690	chr4	150579089	150581545	2457	+
MAB21L2	ENSG00000181541	chr4	150582151	150584693	2543	+
RPS3A	ENSG00000145425	chr4	151099624	151104642	5019	+
SH3D19	ENSG00000109686	chr4	151102751	151325632	222882	-
	ENSG00000270681	chr4	151139991	151141103	1113	+
PRSS48	ENSG00000189099	chr4	151277171	151291453	14283	+
	ENSG00000270265	chr4	151333775	151353224	19450	-
	ENSG00000251611	chr4	151407551	151408835	1285	-
FHIP1A	ENSG00000164142	chr4	151409176	151670503	261328	+
GATB	ENSG00000059691	chr4	151670504	151761007	90504	-
	ENSG00000251455	chr4	151674483	151677893	3411	+
LOC105377488	ENSG00000249184	chr4	151798917	151833097	34181	+
	ENSG00000286761	chr4	151883711	151886239	2529	-
	ENSG00000249708	chr4	151887543	151891263	3721	-
LOC102724700	ENSG00000249818	chr4	151904932	151928710	23779	-
LOC105377488	ENSG00000248991	chr4	151919468	151943933	24466	+
	ENSG00000286066	chr4	151949338	151991925	42588	-
LOC100505685	ENSG00000251249	chr4	151955991	151969381	13391	+
	ENSG00000286720	chr4	151988526	152045275	56750	+
LINC02273	ENSG00000245954	chr4	152090459	152104720	14262	+
	ENSG00000287504	chr4	152113857	152116497	2641	-
	ENSG00000250706	chr4	152146385	152178573	32189	-
	ENSG00000251377	chr4	152206987	152225870	18884	-
	ENSG00000270302	chr4	152308283	152309983	1701	-
	ENSG00000270883	chr4	152317902	152318364	463	-
FBXW7	ENSG00000109670	chr4	152320544	152536092	215549	-
FBXW7-AS1	ENSG00000270751	chr4	152337655	152338098	444	+
	ENSG00000287555	chr4	152448275	152513788	65514	+
MIR4453HG	ENSG00000268471	chr4	152536264	152539263	3000	+
TMEM154	ENSG00000170006	chr4	152618628	152680012	61385	-
	ENSG00000248571	chr4	152666368	152670107	3740	+
TIGD4	ENSG00000169989	chr4	152769354	152779730	10377	-
ARFIP1	ENSG00000164144	chr4	152779937	152918463	138527	+
LOC729870	ENSG00000287642	chr4	152934516	152936761	2246	-
FHDC1	ENSG00000137460	chr4	152936352	152979696	43345	+
	ENSG00000249022	chr4	153034211	153091563	57353	+
TRIM2	ENSG00000109654	chr4	153152342	153339317	186976	+
MND1	ENSG00000121211	chr4	153344649	153415118	70470	+
TMEM131L	ENSG00000121210	chr4	153466346	153636711	170366	+
	ENSG00000287216	chr4	153633692	153655689	21998	-
TLR2	ENSG00000137462	chr4	153684070	153705702	21633	+
RNF175	ENSG00000145428	chr4	153710125	153760235	50111	-
	ENSG00000249309	chr4	153720327	153727722	7396	+
SFRP2	ENSG00000145423	chr4	153780591	153789083	8493	-
	ENSG00000280241	chr4	153948718	154300500	351783	+
DCHS2	ENSG00000197410	chr4	154231742	154491799	260058	-
	ENSG00000278981	chr4	154235980	154237598	1619	+
	ENSG00000280005	chr4	154261735	154262193	459	+
PLRG1	ENSG00000171566	chr4	154535005	154550400	15396	-
FGB	ENSG00000171564	chr4	154562956	154571086	8131	+
FGA	ENSG00000171560	chr4	154583128	154590745	7618	-
FGG	ENSG00000171557	chr4	154604134	154612967	8834	-
LRAT	ENSG00000121207	chr4	154626945	154753120	126176	+
	ENSG00000249041	chr4	154754756	154781873	27118	-
RBM46	ENSG00000151962	chr4	154781213	154828813	47601	+
MAP9-AS1	ENSG00000250910	chr4	155173716	155381694	207979	+
	ENSG00000250538	chr4	155206529	155209027	2499	-
NPY2R	ENSG00000185149	chr4	155208636	155217078	8443	+
	ENSG00000249924	chr4	155286162	155287136	975	-
MAP9	ENSG00000164114	chr4	155342658	155376970	34313	-
LOC105377503	ENSG00000287730	chr4	155442650	155448610	5961	+
	ENSG00000251244	chr4	155496110	155520353	24244	+
GUCY1A1	ENSG00000164116	chr4	155666711	155732349	65639	+
	ENSG00000260244	chr4	155734448	155737062	2615	+
GUCY1B1	ENSG00000061918	chr4	155758992	155807774	48783	+
ASIC5	ENSG00000256394	chr4	155829729	155866277	36549	-
TDO2	ENSG00000151790	chr4	155854738	155920406	65669	+
CTSO	ENSG00000256043	chr4	155924118	155953866	29749	-
	ENSG00000251511	chr4	156585979	156590039	4061	+
	ENSG00000251283	chr4	156634494	156642454	7961	-
	ENSG00000249479	chr4	156642580	156643569	990	+
	ENSG00000248912	chr4	156686664	156692636	5973	+
PDGFC	ENSG00000145431	chr4	156760454	156971799	211346	-
	ENSG00000248629	chr4	156841359	156842236	878	+
GLRB	ENSG00000109738	chr4	157076125	157172090	95966	+
GRIA2	ENSG00000120251	chr4	157204182	157366075	161894	+
	ENSG00000286133	chr4	157568731	157824256	255526	-
LINC02433	ENSG00000234111	chr4	157572490	157576154	3665	+
	ENSG00000249275	chr4	157637687	157667044	29358	+
	ENSG00000286862	chr4	157879902	157962924	83023	+
	ENSG00000287226	chr4	157929071	158094763	165693	-
GASK1B	ENSG00000164125	chr4	158124474	158173318	48845	-
GASK1B-AS1	ENSG00000248429	chr4	158170752	158202877	32126	+
	ENSG00000287822	chr4	158178168	158182806	4639	-
	ENSG00000250604	chr4	158199105	158200442	1338	-
TMEM144	ENSG00000164124	chr4	158201604	158255416	53813	+
	ENSG00000286558	chr4	158262995	158270211	7217	+
RXFP1	ENSG00000171509	chr4	158315311	158653372	338062	+
	ENSG00000249901	chr4	158490766	158509908	19143	-
C4orf46	ENSG00000205208	chr4	158666675	158672255	5581	-
ETFDH	ENSG00000171503	chr4	158672125	158709623	37499	+
PPID	ENSG00000171497	chr4	158709127	158723396	14270	-
FNIP2	ENSG00000052795	chr4	158769026	158908050	139025	+
C4orf45	ENSG00000164123	chr4	158893134	159038760	145627	-
RAPGEF2	ENSG00000109756	chr4	159103013	159360174	257162	+
	ENSG00000250180	chr4	159398533	159401246	2714	+
	ENSG00000250488	chr4	159665833	159777828	111996	-
	ENSG00000249425	chr4	160539254	160586817	47564	+
	ENSG00000249568	chr4	161378953	161388417	9465	+
FSTL5	ENSG00000168843	chr4	161383897	162164004	780108	-
LOC101928052	ENSG00000249419	chr4	162022733	162047567	24835	+
	ENSG00000248431	chr4	162705359	162907428	202070	+
	ENSG00000287072	chr4	162806370	162844690	38321	-
	ENSG00000250027	chr4	163108785	163119965	11181	+
NAF1	ENSG00000145414	chr4	163110073	163166890	56818	-
NPY1R	ENSG00000164128	chr4	163323962	163344832	20871	-
NPY5R	ENSG00000164129	chr4	163343892	163351934	8043	+
TKTL2	ENSG00000151005	chr4	163471095	163473754	2660	-
TMA16	ENSG00000198498	chr4	163494442	163520539	26098	+
MARCHF1	ENSG00000145416	chr4	163524298	164384050	859753	-
	ENSG00000273449	chr4	163529771	163530697	927	+
SMIM31	ENSG00000248771	chr4	164754064	164803795	49732	+
APELA	ENSG00000248329	chr4	164877178	164898965	21788	+
	ENSG00000285563	chr4	164920894	164931047	10154	+
TRIM61	ENSG00000183439	chr4	164954446	164977668	23223	-
FAM218A	ENSG00000250486	chr4	164956948	164959122	2175	+
	ENSG00000250887	chr4	165007086	165007959	874	-
TRIM60	ENSG00000176979	chr4	165016458	165041749	25292	+
TRIM75	ENSG00000250374	chr4	165053864	165060554	6691	+
TMEM192	ENSG00000170088	chr4	165070608	165208549	137942	-
KLHL2	ENSG00000109466	chr4	165207561	165323156	115596	+
GK3P	ENSG00000229894	chr4	165277812	165279679	1868	-
MSMO1	ENSG00000052802	chr4	165327667	165343164	15498	+
CPE	ENSG00000109472	chr4	165361194	165498547	137354	+
	ENSG00000287424	chr4	165647636	165757667	110032	-
LINC01179	ENSG00000249500	chr4	165684639	165762778	78140	+
TLL1	ENSG00000038295	chr4	165873237	166104457	231221	+
	ENSG00000249675	chr4	166388701	166526119	137419	-
SPOCK3	ENSG00000196104	chr4	166733384	167234796	501413	-
	ENSG00000250150	chr4	167306910	167308789	1880	-
	ENSG00000248601	chr4	167946674	168113331	166658	-
ANXA10	ENSG00000109511	chr4	168092537	168187736	95200	+
	ENSG00000287188	chr4	168170097	168194861	24765	-
DDX60	ENSG00000137628	chr4	168216294	168318804	102511	-
DDX60L	ENSG00000181381	chr4	168356735	168537786	181052	-
PALLD	ENSG00000129116	chr4	168497052	168928457	431406	+
	ENSG00000249623	chr4	168647896	168648587	692	-
	ENSG00000249609	chr4	168828919	168832937	4019	-
CBR4	ENSG00000145439	chr4	168863770	169010275	146506	-
	ENSG00000251445	chr4	169010430	169010939	510	+
SH3RF1	ENSG00000154447	chr4	169094259	169270956	176698	-
	ENSG00000251171	chr4	169201794	169220349	18556	+
NEK1	ENSG00000137601	chr4	169392857	169612629	219773	-
	ENSG00000286302	chr4	169572328	169576451	4124	+
CLCN3	ENSG00000109572	chr4	169612633	169723673	111041	+
HPF1	ENSG00000056050	chr4	169729470	169757944	28475	-
LOC124900810	ENSG00000287660	chr4	169849053	169867346	18294	-
	ENSG00000288003	chr4	169912705	169919663	6959	+
LINC02275	ENSG00000248319	chr4	169917761	169975904	58144	-
	ENSG00000287298	chr4	169921417	169923442	2026	+
	ENSG00000251200	chr4	169945981	169963337	17357	+
	ENSG00000249955	chr4	169981744	169994488	12745	+
MFAP3L	ENSG00000198948	chr4	169986597	170033031	46435	-
LOC101928198	ENSG00000198948	chr4	169986597	170033031	46435	-
AADAT	ENSG00000109576	chr4	170060222	170091699	31478	-
LINC01612	ENSG00000250266	chr4	170226535	170283723	57189	+
	ENSG00000251061	chr4	170343089	170372311	29223	+
LINC02382	ENSG00000250968	chr4	170742469	170743718	1250	-
LOC124900869	ENSG00000286580	chr4	170979831	170994656	14826	+
LINC02431	ENSG00000248872	chr4	171040564	171059163	18600	+
LINC02504	ENSG00000248339	chr4	171289475	171298267	8793	-
	ENSG00000287210	chr4	171494684	171525072	30389	-
LINC02174	ENSG00000249297	chr4	171536034	171638763	102730	-
	ENSG00000251176	chr4	171553000	171564267	11268	-
GALNTL6	ENSG00000174473	chr4	171812254	173041559	1229306	+
GALNT7-DT	ENSG00000245213	chr4	173094868	173169652	74785	-
GALNT7	ENSG00000109586	chr4	173168811	173323967	155157	+
	ENSG00000248774	chr4	173322206	173329694	7489	-
HMGB2	ENSG00000164104	chr4	173331376	173334432	3057	-
SAP30-DT	ENSG00000272870	chr4	173349543	173370721	21179	-
SAP30	ENSG00000164105	chr4	173369969	173377532	7564	+
SCRG1	ENSG00000164106	chr4	173384701	173406380	21680	-
	ENSG00000288025	chr4	173397770	173409559	11790	+
	ENSG00000286226	chr4	173445033	173446596	1564	+
	ENSG00000261646	chr4	173467833	173470041	2209	-
	ENSG00000286039	chr4	173509633	173511764	2132	+
HAND2	ENSG00000164107	chr4	173524969	173530229	5261	-
HAND2-AS1	ENSG00000237125	chr4	173527270	173659696	132427	+
LINC02269	ENSG00000250708	chr4	173699082	174001488	302407	+
	ENSG00000250043	chr4	173877471	173913252	35782	-
	ENSG00000251216	chr4	173924207	173991024	66818	-
LINC02268	ENSG00000248174	chr4	174091766	174220398	128633	-
	ENSG00000250957	chr4	174135055	174154637	19583	-
	ENSG00000251213	chr4	174164441	174168913	4473	-
FBXO8	ENSG00000164117	chr4	174236658	174284264	47607	-
CEP44	ENSG00000164118	chr4	174283730	174333380	49651	+
	ENSG00000249875	chr4	174354854	174376445	21592	-
HPGD	ENSG00000164120	chr4	174490175	174523154	32980	-
	ENSG00000251584	chr4	174522617	174541047	18431	+
GLRA3	ENSG00000145451	chr4	174636920	174829247	192328	-
ADAM29	ENSG00000168594	chr4	174829668	174978180	148513	+
	ENSG00000250431	chr4	174977571	174979381	1811	-
	ENSG00000286494	chr4	175038080	175236669	198590	-
	ENSG00000248551	chr4	175346358	175403110	56753	-
	ENSG00000249945	chr4	175457726	175473197	15472	-
GPM6A	ENSG00000150625	chr4	175632934	176002664	369731	-
GPM6A-DT	ENSG00000249106	chr4	175790307	175812189	21883	+
WDR17	ENSG00000150627	chr4	176065834	176182818	116985	+
SPATA4	ENSG00000150628	chr4	176184579	176195585	11007	-
ASB5	ENSG00000164122	chr4	176213673	176277571	63899	-
	ENSG00000248980	chr4	176308268	176320458	12191	-
SPCS3	ENSG00000129128	chr4	176319966	176332245	12280	+
	ENSG00000248388	chr4	176669621	176706145	36525	+
VEGFC	ENSG00000150630	chr4	176683538	176792922	109385	-
	ENSG00000287544	chr4	176844493	177301253	456761	-
	ENSG00000249458	chr4	176866614	176875457	8844	-
LINC02509	ENSG00000250263	chr4	176875688	176908031	32344	+
	ENSG00000249008	chr4	177242539	177248773	6235	-
NEIL3	ENSG00000109674	chr4	177309874	177362936	53063	+
	ENSG00000249084	chr4	177343004	177357032	14029	-
AGA	ENSG00000038002	chr4	177430774	177442437	11664	-
	ENSG00000250131	chr4	177442519	177681381	238863	+
LOC105377559	ENSG00000251416	chr4	177686673	177691068	4396	-
LINC01098	ENSG00000231171	chr4	177728757	178028971	300215	+
LINC01099	ENSG00000251504	chr4	177729638	177907936	178299	-
	ENSG00000250993	chr4	179389134	179465305	76172	-
	ENSG00000287083	chr4	179923773	180059792	136020	-
LOC124900818	ENSG00000287775	chr4	180095527	180117163	21637	-
	ENSG00000249883	chr4	180731164	180759038	27875	-
LINC00290	ENSG00000248197	chr4	181064089	181159149	95061	-
	ENSG00000249460	chr4	181260442	181265145	4704	-
	ENSG00000286860	chr4	181590255	181591969	1715	+
	ENSG00000287948	chr4	181686182	181700142	13961	-
TEMN3-AS1	ENSG00000251336	chr4	181820019	181829973	9955	-
	ENSG00000177822	chr4	181874438	182145249	270812	-
TENM3	ENSG00000218336	chr4	182143987	182803024	659038	+
	ENSG00000248266	chr4	182144852	182190382	45531	+
	ENSG00000248816	chr4	182697902	182708042	10141	-
	ENSG00000248694	chr4	182772565	182773931	1367	-
	ENSG00000286119	chr4	182828100	182830597	2498	+
	ENSG00000272646	chr4	182881777	182882203	427	-
DCTD	ENSG00000129187	chr4	182890060	182917936	27877	-
LOC112268472	ENSG00000286821	chr4	183017426	183036100	18675	+
	ENSG00000273180	chr4	183075480	183076033	554	-
	ENSG00000272784	chr4	183094423	183095056	634	-
WWC2-AS2	ENSG00000251359	chr4	183097017	183099199	2183	-
WWC2	ENSG00000151718	chr4	183099257	183320777	221521	+
WWC2-AS1	ENSG00000251128	chr4	183233628	183240634	7007	-
CLDN22	ENSG00000177300	chr4	183318194	183320774	2581	-
CLDN24	ENSG00000185758	chr4	183321764	183322426	663	-
CDKN2AIP	ENSG00000168564	chr4	183444635	183449064	4430	+
	ENSG00000232648	chr4	183494884	183504494	9611	-
ING2	ENSG00000168556	chr4	183505058	183512429	7372	+
	ENSG00000272744	chr4	183516894	183517527	634	+
RWDD4	ENSG00000182552	chr4	183639635	183659203	19569	-
TRAPPC11	ENSG00000168538	chr4	183659267	183713594	54328	+
	ENSG00000287349	chr4	183725830	183732570	6741	+
	ENSG00000283383	chr4	183762115	183765721	3607	-
STOX2	ENSG00000173320	chr4	183797692	184023526	225835	+
	ENSG00000248206	chr4	183987669	183996680	9012	+
ENPP6	ENSG00000164303	chr4	184088706	184221230	132525	-
	ENSG00000287433	chr4	184100482	184106038	5557	+
LINC02363	ENSG00000180712	chr4	184334292	184353977	19686	-
	ENSG00000249096	chr4	184365180	184382416	17237	-
IRF2	ENSG00000168310	chr4	184387729	184474550	86822	-
	ENSG00000270426	chr4	184471924	184472609	686	-
	ENSG00000271646	chr4	184474802	184477304	2503	+
	ENSG00000286292	chr4	184484141	184490293	6153	+
	ENSG00000271538	chr4	184503271	184537626	34356	-
LINC02365	ENSG00000254233	chr4	184584093	184625030	40938	-
CASP3	ENSG00000164305	chr4	184627696	184649509	21814	-
PRIMPOL	ENSG00000164306	chr4	184649667	184694963	45297	+
CENPU	ENSG00000151725	chr4	184694085	184734130	40046	-
ACSL1	ENSG00000151726	chr4	184755595	184826818	71224	-
	ENSG00000251139	chr4	184813619	184821300	7682	+
	ENSG00000286256	chr4	184826607	184850920	24314	+
MIR3945HG	ENSG00000251230	chr4	184844554	184855751	11198	-
LINC01093	ENSG00000249173	chr4	184892858	184899553	6696	-
	ENSG00000248517	chr4	184988997	185005186	16190	+
HELT	ENSG00000187821	chr4	185018841	185020804	1964	+
LINC02436	ENSG00000250754	chr4	185051081	185115500	64420	+
	ENSG00000287183	chr4	185118984	185127478	8495	-
SLC25A4	ENSG00000151729	chr4	185143266	185150382	7117	+
CFAP97	ENSG00000164323	chr4	185159665	185209504	49840	-
SNX25	ENSG00000109762	chr4	185204237	185370185	165949	+
LRP2BP	ENSG00000109771	chr4	185363879	185395899	32021	-
	ENSG00000250410	chr4	185370725	185390928	20204	+
ANKRD37	ENSG00000186352	chr4	185396021	185400628	4608	+
UFSP2	ENSG00000109775	chr4	185399537	185425979	26443	-
C4orf47	ENSG00000205129	chr4	185426249	185449826	23578	+
CCDC110	ENSG00000168491	chr4	185445182	185471752	26571	-
	ENSG00000249679	chr4	185471461	185507055	35595	+
PDLIM3	ENSG00000154553	chr4	185500660	185535612	34953	-
SORBS2	ENSG00000154556	chr4	185585444	185956652	371209	-
	ENSG00000233110	chr4	185587909	185594003	6095	+
	ENSG00000235902	chr4	185665885	185675417	9533	+
	ENSG00000235149	chr4	185918140	185919460	1321	+
TLR3	ENSG00000164342	chr4	186069152	186088069	18918	+
FAM149A	ENSG00000109794	chr4	186104419	186172667	68249	+
CYP4V2	ENSG00000145476	chr4	186191567	186213463	21897	+
KLKB1	ENSG00000164344	chr4	186208979	186258471	49493	+
F11	ENSG00000088926	chr4	186265945	186288806	22862	+
F11-AS1	ENSG00000251165	chr4	186286094	186500997	214904	-
	ENSG00000287667	chr4	186326302	186336662	10361	+
MTNR1A	ENSG00000168412	chr4	186533655	186555567	21913	-
FAT1	ENSG00000083857	chr4	186587794	186726722	138929	-
	ENSG00000287169	chr4	186701579	186704086	2508	+
	ENSG00000250829	chr4	186890969	186892366	1398	+
	ENSG00000272218	chr4	186892552	186892983	432	+
	ENSG00000249742	chr4	186979490	187027451	47962	-
	ENSG00000250971	chr4	187005944	187060930	54987	+
	ENSG00000287571	chr4	187198218	187201894	3677	-
	ENSG00000249747	chr4	187201986	187209346	7361	+
	ENSG00000250658	chr4	187304083	187309682	5600	-
LINC02514	ENSG00000250042	chr4	187370648	187371921	1274	+
LINC02515	ENSG00000250620	chr4	187408232	187415748	7517	+
	ENSG00000251490	chr4	187516153	187517208	1056	-
LINC02492	ENSG00000250590	chr4	187532873	187672755	139883	-
LOC105377603	ENSG00000249642	chr4	187613708	187712329	98622	+
	ENSG00000286641	chr4	187942164	187963345	21182	-
ZFP42	ENSG00000179059	chr4	187995771	188005046	9276	+
TRIML2	ENSG00000179046	chr4	188091273	188109603	18331	-
TRIML1	ENSG00000184108	chr4	188139441	188147743	8303	+
	ENSG00000247130	chr4	188140822	188143379	2558	-
	ENSG00000248370	chr4	188159705	188161157	1453	+
LINC01060	ENSG00000249378	chr4	188400736	188681051	280316	+
	ENSG00000249269	chr4	188757678	188779343	21666	+
LINC02508	ENSG00000251619	chr4	188776657	188785511	8855	+
	ENSG00000250626	chr4	188777672	188818522	40851	-
	ENSG00000250024	chr4	188990715	189002075	11361	-
	ENSG00000251310	chr4	189193100	189204877	11778	+
	ENSG00000249877	chr4	189288677	189291336	2660	-
LINC01262	ENSG00000250739	chr4	189659605	189661486	1882	+
	ENSG00000272566	chr4	189703881	189704490	610	-
FRG1-DT	ENSG00000245685	chr4	189764391	189940733	176343	-
LINC01596	ENSG00000250666	chr4	189881515	189884868	3354	+
FRG1	ENSG00000109536	chr4	189940870	189963202	22333	+
FRG2	ENSG00000205097	chr4	190024351	190027257	2907	-
DBET	ENSG00000281591	chr4	190064502	190067864	3363	+
DUX4	ENSG00000260596	chr4	190173774	190185942	12169	+
PLEKHG4B	ENSG00000153404	chr5	92151	189972	97822	+
LRRC14B	ENSG00000185028	chr5	191495	196334	4840	+
	ENSG00000261434	chr5	195778	196341	564	+
CCDC127	ENSG00000164366	chr5	196868	218153	21286	-
SDHA	ENSG00000073578	chr5	218241	257082	38842	+
	ENSG00000248925	chr5	269858	271516	1659	-
PDCD6	ENSG00000249915	chr5	271621	314974	43354	+
AHRR	ENSG00000063438	chr5	321759	435110	113352	+
	ENSG00000221990	chr5	441498	443160	1663	-
EXOC3	ENSG00000180104	chr5	443175	471937	28763	+
PP7080	ENSG00000188242	chr5	466124	473098	6975	-
SLC9A3	ENSG00000066230	chr5	470456	524449	53994	-
	ENSG00000225138	chr5	473236	480884	7649	+
	ENSG00000250385	chr5	524109	527448	3340	+
	ENSG00000249650	chr5	602620	612210	9591	-
CEP72	ENSG00000112877	chr5	612340	667168	54829	+
TPPP	ENSG00000171368	chr5	659862	693352	33491	-
	ENSG00000271781	chr5	675826	676616	791	+
ZDHHC11B	ENSG00000206077	chr5	710355	784729	74375	-
	ENSG00000286094	chr5	716808	766919	50112	-
ZDHHC11	ENSG00000188818	chr5	795606	850986	55381	-
BRD9	ENSG00000028310	chr5	850291	892801	42511	-
TRIP13	ENSG00000071539	chr5	892884	919357	26474	+
	ENSG00000287600	chr5	904319	912587	8269	-
	ENSG00000248949	chr5	946315	956520	10206	+
	ENSG00000250173	chr5	979365	981300	1936	+
LINC02982	ENSG00000215246	chr5	987180	997308	10129	-
	ENSG00000272347	chr5	1005039	1006623	1585	+
NKD2	ENSG00000145506	chr5	1008802	1038943	30142	+
SLC12A7	ENSG00000113504	chr5	1050384	1112063	61680	-
TERLR1	ENSG00000249201	chr5	1173141	1178605	5465	-
SLC6A19	ENSG00000174358	chr5	1201595	1225111	23517	+
SLC6A18	ENSG00000164363	chr5	1225381	1246189	20809	+
	ENSG00000287486	chr5	1252006	1255976	3971	+
TERT	ENSG00000164362	chr5	1253147	1295047	41901	-
CLPTM1L	ENSG00000049656	chr5	1317752	1345099	27348	-
	ENSG00000286388	chr5	1345197	1350786	5590	+
LINC01511	ENSG00000250584	chr5	1353896	1380107	26212	-
SLC6A3	ENSG00000142319	chr5	1392794	1445440	52647	-
LPCAT1	ENSG00000153395	chr5	1456480	1523962	67483	-
	ENSG00000251532	chr5	1544107	1551710	7604	-
	ENSG00000271119	chr5	1594626	1611467	16842	+
	ENSG00000260066	chr5	1725149	1728172	3024	+
MRPL36	ENSG00000171421	chr5	1798385	1801366	2982	-
NDUFS6	ENSG00000145494	chr5	1801400	1816605	15206	+
	ENSG00000249966	chr5	1850950	1851497	548	+
LINC02116	ENSG00000250417	chr5	1855970	1856568	599	-
IRX4	ENSG00000113430	chr5	1877413	1887236	9824	-
	ENSG00000249116	chr5	1883966	1884649	684	+
CTD-2194D22.4	ENSG00000249326	chr5	1887332	1900493	13162	+
	ENSG00000288108	chr5	1931058	1933985	2928	-
	ENSG00000248994	chr5	1931064	2119926	188863	+
	ENSG00000248597	chr5	1963346	1967251	3906	-
	ENSG00000249731	chr5	1968094	1969013	920	+
LSINCT5	ENSG00000281560	chr5	2712591	2715237	2647	+
	ENSG00000259757	chr5	2736662	2737759	1098	-
IRX2	ENSG00000170561	chr5	2745845	2751677	5833	-
	ENSG00000186493	chr5	2752131	2755397	3267	+
	ENSG00000248137	chr5	2831021	2835139	4119	-
	ENSG00000248736	chr5	2921496	2967955	46460	+
LINC01377	ENSG00000249808	chr5	3177835	3181487	3653	+
LINC01019	ENSG00000248118	chr5	3357264	3536094	178831	-
LINC02162	ENSG00000249830	chr5	3452816	3461660	8845	+
LINC01017	ENSG00000250716	chr5	3496229	3504004	7776	-
IRX1	ENSG00000170549	chr5	3595832	3601403	5572	+
	ENSG00000259603	chr5	3596211	3600188	3978	-
	ENSG00000248962	chr5	4012708	4013649	942	-
	ENSG00000249994	chr5	4033713	4041764	8052	-
	ENSG00000250921	chr5	4135638	4147429	11792	+
LOC124901168	ENSG00000260763	chr5	4436850	4440259	3410	-
LOC107986400	ENSG00000248973	chr5	4451930	4866311	414382	-
	ENSG00000231291	chr5	4512262	4516776	4515	+
	ENSG00000251371	chr5	4640731	4648254	7524	+
LINC02114	ENSG00000249521	chr5	4773481	4774865	1385	+
	ENSG00000248311	chr5	4775476	4805769	30294	-
	ENSG00000249941	chr5	4866521	4874759	8239	+
	ENSG00000251506	chr5	4967764	4970425	2662	-
	ENSG00000250481	chr5	4974690	5034267	59578	-
LINC01020	ENSG00000215231	chr5	4987789	5070314	82526	+
	ENSG00000251426	chr5	5046796	5049497	2702	-
LINC02121	ENSG00000250529	chr5	5069192	5078311	9120	-
ADAMTS16-DT	ENSG00000250579	chr5	5132101	5140119	8019	-
ADAMTS16	ENSG00000145536	chr5	5140330	5320304	179975	+
	ENSG00000250866	chr5	5142138	5176214	34077	-
LOC101929200	ENSG00000286753	chr5	5390096	5422116	32021	-
ICE1	ENSG00000164151	chr5	5420664	5490220	69557	+
	ENSG00000286986	chr5	5688805	5694742	5938	+
	ENSG00000261037	chr5	6019029	6022283	3255	-
	ENSG00000259861	chr5	6030035	6030841	807	+
LINC02145	ENSG00000250490	chr5	6310441	6339884	29444	-
MED10	ENSG00000133398	chr5	6371874	6378571	6698	-
